| ctype |d1 |d2 |d3 | loadA | loadD | loadM |
|   0   | 0 | 0 | 0 |   0   |   0   |   0   |
|   0   | 0 | 0 | 1 |   0   |   0   |   0   |
|   0   | 0 | 1 | 0 |   0   |   0   |   0   |
|   0   | 0 | 1 | 1 |   0   |   0   |   0   |
|   0   | 1 | 0 | 0 |   0   |   0   |   0   |
|   0   | 1 | 0 | 1 |   0   |   0   |   0   |
|   0   | 1 | 1 | 0 |   0   |   0   |   0   |
|   0   | 1 | 1 | 1 |   0   |   0   |   0   |
|   1   | 0 | 0 | 0 |   0   |   0   |   0   |
|   1   | 0 | 0 | 1 |   0   |   0   |   1   |
|   1   | 0 | 1 | 0 |   0   |   1   |   0   |
|   1   | 0 | 1 | 1 |   0   |   1   |   1   |
|   1   | 1 | 0 | 0 |   1   |   0   |   0   |
|   1   | 1 | 0 | 1 |   1   |   0   |   1   |
|   1   | 1 | 1 | 0 |   1   |   1   |   0   |
|   1   | 1 | 1 | 1 |   1   |   1   |   1   |
